recipe_name|item_url|rank|cooldown_timer|station|vendor|gold|ingredient_names
Deck of the Dragons Maw (Square)|http://www.wizard101central.com/wiki/Item:Deck_of_the_Dragon%27s_Maw_(Square)|Transcendent Crafter|001:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Dragonbone Pasteboards'), ('1', 'Mote of Eternity'), ('25', 'Perfect Ruby')]
Deck of the Dragons Maw (Tear)|http://www.wizard101central.com/wiki/Item:Deck_of_the_Dragon%27s_Maw_(Tear)|Transcendent Crafter|001:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Dragonbone Pasteboards'), ('1', 'Mote of Eternity'), ('25', 'Perfect Ruby')]
Deck of the Dragons Maw (Triangle)|http://www.wizard101central.com/wiki/Item:Deck_of_the_Dragon%27s_Maw_(Triangle)|Transcendent Crafter|001:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Dragonbone Pasteboards'), ('1', 'Mote of Eternity'), ('25', 'Perfect Ruby')]
Deck of the Prowling Wolf (Square)|http://www.wizard101central.com/wiki/Item:Deck_of_the_Prowling_Wolf_(Square)|Transcendent Crafter|001:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Cards of the Howling Wolf'), ('1', 'Mote of Eternity'), ('25', 'Perfect Amethyst')]
Deck of the Prowling Wolf (Tear)|http://www.wizard101central.com/wiki/Item:Deck_of_the_Prowling_Wolf_(Tear)|Transcendent Crafter|001:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Cards of the Howling Wolf'), ('1', 'Mote of Eternity'), ('25', 'Perfect Amethyst')]
Deck of the Prowling Wolf (Triangle)|http://www.wizard101central.com/wiki/Item:Deck_of_the_Prowling_Wolf_(Triangle)|Transcendent Crafter|001:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Cards of the Howling Wolf'), ('1', 'Mote of Eternity'), ('25', 'Perfect Amethyst')]
Dragonbone Pasteboards|http://www.wizard101central.com/wiki/Item:Dragonbone_Pasteboards|Transcendent Crafter|01:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Mote of Wisdom'), ('1', 'Mote of Beauty'), ('1', 'Mote of Eternity'), ('1', 'Mote of Severity'), ('2', 'GarGoyle'), ('25', 'Perfect Ruby')]
Dreamsearcher Square Deck|http://www.wizard101central.com/wiki/Item:Dreamsearcher_Square_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Dreamsearcher Box'), ('50', 'Perfect Citrine'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Nested Fury (805-970-1,050)')]
Dreamsearcher Tear Deck|http://www.wizard101central.com/wiki/Item:Dreamsearcher_Tear_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Dreamsearcher Box'), ('50', 'Perfect Citrine'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Nested Fury (805-970-1,050)')]
Dreamsearcher Triangle Deck|http://www.wizard101central.com/wiki/Item:Dreamsearcher_Triangle_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Dreamsearcher Box'), ('50', 'Perfect Citrine'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Nested Fury (805-970-1,050)')]
DuneFathers Set|http://www.wizard101central.com/wiki/Item:DuneFather%27s_Set|Promethean Crafter|036:40:00|Equipment Crafting Station|Wozina the EdgeCutter|1,500|[('2', 'Amber'), ('1', 'Stardust'), ('25', 'Ancient Scroll'), ('10', 'Black Pearl'), ('3', 'Spinysaur'), ('5', 'Astral Shard'), ('25', 'Perfect Jade'), ('5', 'Aether')]
Elders Hand of Unity|http://www.wizard101central.com/wiki/Item:Elder%27s_Hand_of_Unity|Promethean Crafter|036:40:00|Equipment Crafting Station|Wozina the EdgeCutter|1,500|[('2', 'Amber'), ('1', 'Stardust'), ('25', 'Ancient Scroll'), ('10', 'Sandstone'), ('3', 'Sabertooth'), ('5', 'Astral Shard'), ('25', 'Perfect Citrine'), ('5', 'Aether')]
Epic Deck|http://www.wizard101central.com/wiki/Item:Epic_Deck|Grandmaster Artisan|8:20:00|Equipment Crafting Station|Quentin Chamberlain|1,414|[('6', 'Minotaur'), ('5', 'Perfect Peridot'), ('5', 'Pristine Vial'), ('5', 'Sunstone'), ('11', 'Aquamarine'), ('13', 'Scales'), ('19', 'Water Lily')]
Eye of Sun Gallery|http://www.wizard101central.com/wiki/Item:Eye_of_Sun_Gallery|Transcendent Crafter|36:40:00|Equipment Crafting Station|Guaman Skyfall|1,500|[('3', 'Rebirth'), ('2', 'Mend'), ('2', 'Amber'), ('3', 'Braided Vine'), ('25', 'Ancient Scroll'), ('8', 'Grendelweed'), ('6', 'Agave Nectar'), ('2', 'Turquoise')]
Faces of the Storm|http://www.wizard101central.com/wiki/Item:Faces_of_the_Storm|Transcendent Crafter|36:40:00|Equipment Crafting Station|Guaman Skyfall|1,500|[('2', 'Windstorm'), ('2', 'Mend'), ('2', 'Amber'), ('3', 'Braided Vine'), ('25', 'Ancient Scroll'), ('8', 'Black Pearl'), ('6', 'Agave Nectar'), ('2', 'Turquoise')]
Fiery Deck|http://www.wizard101central.com/wiki/Item:Fiery_Deck|Grandmaster Artisan|8:20:00|Equipment Crafting Station|Quentin Chamberlain|1,414|[('6', 'Phoenix'), ('5', 'Perfect Ruby'), ('5', 'Pristine Vial'), ('5', 'Sunstone'), ('6', 'Golden Pearl'), ('13', 'Scales'), ('19', 'Water Lily')]
Fire Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Fire_Deckathlete%27s_Deck_1|Novice Crafter|000:01:00|Deckathalon Crafting Station|Kara Runewright (Fire Tower)|Fire|[('5', 'Ice Rune')]
Fire Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Fire_Deckathlete%27s_Deck_10|None|000:10:00|Treasure Tower Crafting Station|Kara Runewright (Fire Tower)|Fire|"[('1', ""Fire Deckathlete's Deck 8""), ('1', ""Fire Deckathlete's Deck 9""), ('40', 'Ice Rune'), ('14', 'Enhanced Ice Rune'), ('6', 'Superior Ice Rune')]"
Fire Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Fire_Deckathlete%27s_Deck_2|Novice Crafter|000:02:00|Treasure Tower Crafting Station|Kara Runewright (Fire Tower)|Fire|"[('1', ""Fire Deckathlete's Deck 1""), ('15', 'Ice Rune')]"
Fire Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Fire_Deckathlete%27s_Deck_3|Novice Crafter|000:03:00|Treasure Tower Crafting Station|Kara Runewright (Fire Tower)|Fire|"[('1', ""Fire Deckathlete's Deck 1""), ('1', ""Fire Deckathlete's Deck 2""), ('20', 'Ice Rune')]"
Fire Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Fire_Deckathlete%27s_Deck_4|Novice Crafter|000:04:00|Treasure Tower Crafting Station|Kara Runewright (Fire Tower)|Fire|"[('1', ""Fire Deckathlete's Deck 2""), ('1', ""Fire Deckathlete's Deck 3""), ('20', 'Ice Rune'), ('2', 'Enhanced Ice Rune')]"
Fire Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Fire_Deckathlete%27s_Deck_5|None|000:05:00|Treasure Tower Crafting Station|Kara Runewright (Fire Tower)|Fire|"[('1', ""Fire Deckathlete's Deck 3""), ('1', ""Fire Deckathlete's Deck 4""), ('30', 'Ice Rune'), ('4', 'Enhanced Ice Rune')]"
Fire Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Fire_Deckathlete%27s_Deck_6|None|000:06:00|Treasure Tower Crafting Station|Kara Runewright (Fire Tower)|Fire|"[('1', ""Fire Deckathlete's Deck 4""), ('1', ""Fire Deckathlete's Deck 5""), ('35', 'Ice Rune'), ('6', 'Enhanced Ice Rune')]"
Fire Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Fire_Deckathlete%27s_Deck_7|None|000:07:00|Treasure Tower Crafting Station|Kara Runewright (Fire Tower)|Fire|"[('1', ""Fire Deckathlete's Deck 5""), ('1', ""Fire Deckathlete's Deck 6""), ('35', 'Ice Rune'), ('8', 'Enhanced Ice Rune'), ('2', 'Superior Ice Rune')]"
Fire Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Fire_Deckathlete%27s_Deck_8|None|000:08:00|Treasure Tower Crafting Station|Kara Runewright (Fire Tower)|Fire|"[('1', ""Fire Deckathlete's Deck 6""), ('1', ""Fire Deckathlete's Deck 7""), ('40', 'Ice Rune'), ('10', 'Enhanced Ice Rune'), ('2', 'Superior Ice Rune')]"
Fire Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Fire_Deckathlete%27s_Deck_9|None|000:09:00|Treasure Tower Crafting Station|Kara Runewright (Fire Tower)|Fire|"[('1', ""Fire Deckathlete's Deck 7""), ('1', ""Fire Deckathlete's Deck 8""), ('40', 'Ice Rune'), ('12', 'Enhanced Ice Rune'), ('2', 'Superior Ice Rune')]"
Freshbaker Square Deck|http://www.wizard101central.com/wiki/Item:Freshbaker_Square_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Freshbaker Box'), ('50', 'Perfect Ruby'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Raging Bull (705-825)')]
Freshbaker Tear Deck|http://www.wizard101central.com/wiki/Item:Freshbaker_Tear_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Freshbaker Box'), ('50', 'Perfect Ruby'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Raging Bull (705-825)')]
Freshbaker Triangle Deck|http://www.wizard101central.com/wiki/Item:Freshbaker_Triangle_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Freshbaker Box'), ('50', 'Perfect Ruby'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Raging Bull (705-825)')]
Gallery of the Hungry Dead|http://www.wizard101central.com/wiki/Item:Gallery_of_the_Hungry_Dead|Transcendent Crafter|36:40:00|Equipment Crafting Station|Guaman Skyfall|1,500|[('2', 'Wraith'), ('2', 'Mend'), ('2', 'Amber'), ('3', 'Braided Vine'), ('25', 'Ancient Scroll'), ('8', 'Nightshade'), ('6', 'Agave Nectar'), ('2', 'Turquoise')]
Ice Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Ice_Deckathlete%27s_Deck_1|Novice|000:01:00|Treasure Tower Crafting Station|Kara Runewright (Ice Tower)|Ice|[('5', 'Fire Rune')]
Ice Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Ice_Deckathlete%27s_Deck_10|None||Treasure Tower Crafting Station|Kara Runewright (Ice Tower)|Ice|"[('1', ""Ice Deckathlete's Deck 8""), ('1', ""Ice Deckathlete's Deck 9""), ('40', 'Fire Rune'), ('14', 'Enhanced Fire Rune'), ('6', 'Superior Fire Rune')]"
Ice Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Ice_Deckathlete%27s_Deck_2|Novice|000:02:00|Treasure Tower Crafting Station|Kara Runewright (Ice Tower)|Ice|"[('1', ""Ice Deckathlete's Deck 1""), ('15', 'Fire Rune')]"
Ice Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Ice_Deckathlete%27s_Deck_3|Novice|000:03:00|Treasure Tower Crafting Station|Kara Runewright (Ice Tower)|Ice|"[('1', ""Ice Deckathlete's Deck 1""), ('1', ""Ice Deckathlete's Deck 2""), ('20', 'Fire Rune')]"
Ice Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Ice_Deckathlete%27s_Deck_4|Novice|000:04:00|Treasure Tower Crafting Station|Kara Runewright (Ice Tower)|Ice|"[('1', ""Ice Deckathlete's Deck 2""), ('1', ""Ice Deckathlete's Deck 3""), ('20', 'Fire Rune'), ('2', 'Enhanced Fire Rune')]"
Ice Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Ice_Deckathlete%27s_Deck_5|Novice|000:05:00|Treasure Tower Crafting Station|Kara Runewright (Ice Tower)|Ice|"[('1', ""Ice Deckathlete's Deck 3""), ('1', ""Ice Deckathlete's Deck 4""), ('30', 'Fire Rune'), ('4', 'Enhanced Fire Rune')]"
Ice Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Ice_Deckathlete%27s_Deck_6|Novice||Treasure Tower Crafting Station|Kara Runewright (Ice Tower)|Ice|"[('1', ""Ice Deckathlete's Deck 4""), ('1', ""Ice Deckathlete's Deck 5""), ('35', 'Fire Rune'), ('6', 'Enhanced Fire Rune')]"
Ice Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Ice_Deckathlete%27s_Deck_7|Novice||Treasure Tower Crafting Station|Kara Runewright (Ice Tower)|Ice|"[('1', ""Ice Deckathlete's Deck 5""), ('1', ""Ice Deckathlete's Deck 6""), ('35', 'Fire Rune'), ('8', 'Enhanced Fire Rune'), ('2', 'Superior Fire Rune')]"
Ice Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Ice_Deckathlete%27s_Deck_8|None||Treasure Tower Crafting Station|Kara Runewright (Ice Tower)|Ice|"[('1', ""Ice Deckathlete's Deck 6""), ('1', ""Ice Deckathlete's Deck 7""), ('40', 'Fire Rune'), ('10', 'Enhanced Fire Rune'), ('2', 'Superior Fire Rune')]"
Ice Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Ice_Deckathlete%27s_Deck_9|None||Treasure Tower Crafting Station|Kara Runewright (Ice Tower)|Ice|"[('1', ""Ice Deckathlete's Deck 7""), ('1', ""Ice Deckathlete's Deck 8""), ('40', 'Fire Rune'), ('12', 'Enhanced Fire Rune'), ('2', 'Superior Fire Rune')]"
Life Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Life_Deckathlete%27s_Deck_1|None|000:01:00|Treasure Tower Crafting Station|Kara Runewright (Life Tower)|Life|[('5', 'Death Rune')]
Life Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Life_Deckathlete%27s_Deck_10|None|000:10:00|Treasure Tower Crafting Station|Kara Runewright (Life Tower)|Life|"[('1', ""Life Deckathlete's Deck 8""), ('1', ""Life Deckathlete's Deck 9""), ('40', 'Death Rune'), ('14', 'Enhanced Death Rune'), ('6', 'Superior Death Rune')]"
Life Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Life_Deckathlete%27s_Deck_2|None|000:02:00|Treasure Tower Crafting Station|Kara Runewright (Life Tower)|Life|"[('1', ""Life Deckathlete's Deck 1""), ('15', 'Death Rune')]"
Life Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Life_Deckathlete%27s_Deck_3|None|000:03:00|Treasure Tower Crafting Station|Kara Runewright (Life Tower)|Life|"[('1', ""Life Deckathlete's Deck 1""), ('1', ""Life Deckathlete's Deck 2""), ('20', 'Death Rune')]"
Life Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Life_Deckathlete%27s_Deck_4|None|000:04:00|Treasure Tower Crafting Station|Kara Runewright (Life Tower)|Life|"[('1', ""Life Deckathlete's Deck 2""), ('1', ""Life Deckathlete's Deck 3""), ('20', 'Death Rune'), ('2', 'Enhanced Death Rune')]"
Life Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Life_Deckathlete%27s_Deck_5|None|000:05:00|Treasure Tower Crafting Station|Kara Runewright (Life Tower)|Life|"[('1', ""Life Deckathlete's Deck 3""), ('1', ""Life Deckathlete's Deck 4""), ('30', 'Death Rune'), ('4', 'Enhanced Death Rune')]"
Life Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Life_Deckathlete%27s_Deck_6|None|000:06:00|Treasure Tower Crafting Station|Kara Runewright (Life Tower)|Life|"[('1', ""Life Deckathlete's Deck 4""), ('1', ""Life Deckathlete's Deck 5""), ('35', 'Death Rune'), ('6', 'Enhanced Death Rune')]"
Life Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Life_Deckathlete%27s_Deck_7|None|000:07:00|Treasure Tower Crafting Station|Kara Runewright (Life Tower)|Life|"[('1', ""Life Deckathlete's Deck 5""), ('1', ""Life Deckathlete's Deck 6""), ('35', 'Death Rune'), ('8', 'Enhanced Death Rune'), ('2', 'Superior Death Rune')]"
Life Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Life_Deckathlete%27s_Deck_8|None|000:08:00|Treasure Tower Crafting Station|Kara Runewright (Life Tower)|Life|"[('1', ""Life Deckathlete's Deck 6""), ('1', ""Life Deckathlete's Deck 7""), ('40', 'Death Rune'), ('10', 'Enhanced Death Rune'), ('2', 'Superior Death Rune')]"
Life Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Life_Deckathlete%27s_Deck_9|None|000:09:00|Treasure Tower Crafting Station|Kara Runewright (Life Tower)|Life|"[('1', ""Life Deckathlete's Deck 7""), ('1', ""Life Deckathlete's Deck 8""), ('40', 'Death Rune'), ('12', 'Enhanced Death Rune'), ('2', 'Superior Death Rune')]"
Lord of Deaths Bitter Hand (Square)|http://www.wizard101central.com/wiki/Item:Lord_of_Death%27s_Bitter_Hand_(Square)|Transcendent Crafter|001:50:00|Equipment Crafting Station|Harker|5,000|"[('1', ""Lord of Death's Hand""), ('1', 'Mote of Eternity'), ('25', 'Perfect Onyx')]"
Lord of Deaths Bitter Hand (Tear)|http://www.wizard101central.com/wiki/Item:Lord_of_Death%27s_Bitter_Hand_(Tear)|Transcendent Crafter|001:50:00|Equipment Crafting Station|Harker|5,000|"[('1', ""Lord of Death's Hand""), ('1', 'Mote of Eternity'), ('25', 'Perfect Onyx')]"
Lord of Deaths Bitter Hand (Triangle)|http://www.wizard101central.com/wiki/Item:Lord_of_Death%27s_Bitter_Hand_(Triangle)|Transcendent Crafter|001:50:00|Equipment Crafting Station|Harker|5,000|"[('1', ""Lord of Death's Hand""), ('1', 'Mote of Eternity'), ('25', 'Perfect Onyx')]"
Lord of Deaths Hand|http://www.wizard101central.com/wiki/Item:Lord_of_Death%27s_Hand|Transcendent Crafter|01:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Mote of Wisdom'), ('1', 'Mote of Beauty'), ('1', 'Mote of Eternity'), ('1', 'Mote of Severity'), ('2', 'ExecuShiner'), ('25', 'Perfect Onyx')]
Lovelorn Spirits Set of Woe (Square)|http://www.wizard101central.com/wiki/Item:Lovelorn_Spirit%27s_Set_of_Woe_(Square)|Transcendent Crafter|01:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Set of the Lovelorn Spirit'), ('1', 'Mote of Eternity'), ('25', 'Perfect Citrine')]
Lovelorn Spirits Set of Woe (Tear)|http://www.wizard101central.com/wiki/Item:Lovelorn_Spirit%27s_Set_of_Woe_(Tear)|Transcendent Crafter|01:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Set of the Lovelorn Spirit'), ('1', 'Mote of Eternity'), ('25', 'Perfect Citrine')]
Lovelorn Spirits Set of Woe (Triangle)|http://www.wizard101central.com/wiki/Item:Lovelorn_Spirit%27s_Set_of_Woe_(Triangle)|Transcendent Crafter|01:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Set of the Lovelorn Spirit'), ('1', 'Mote of Eternity'), ('25', 'Perfect Citrine')]
Maelstrom Deck|http://www.wizard101central.com/wiki/Item:Maelstrom_Deck|Grandmaster Artisan|8:20:00|Equipment Crafting Station|Quentin Chamberlain|1,414|[('6', 'Stormzilla'), ('5', 'Perfect Amethyst'), ('5', 'Pristine Vial'), ('5', 'Sunstone'), ('8', 'Fish Fin'), ('13', 'Scales'), ('19', 'Water Lily')]
Myth Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Myth_Deckathlete%27s_Deck_1|Novice Crafter|000:01:00|Treasure Tower Crafting Station|Kara Runewright (Myth Tower)|Myth|[('5', 'Storm Rune')]
Myth Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Myth_Deckathlete%27s_Deck_2|Novice Crafter|000:02:00|Treasure Tower Crafting Station|Kara Runewright (Myth Tower)|Myth|"[('1', ""Myth Deckathlete's Deck 1""), ('15', 'Storm Rune')]"
Myth Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Myth_Deckathlete%27s_Deck_3|Novice Crafter|000:03:00|Treasure Tower Crafting Station|Kara Runewright (Myth Tower)|Myth|"[('1', ""Myth Deckathlete's Deck 1""), ('1', ""Myth Deckathlete's Deck 2""), ('20', 'Storm Rune')]"
Myth Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Myth_Deckathlete%27s_Deck_4|Novice Crafter|000:04:00|Treasure Tower Crafting Station|Kara Runewright (Myth Tower)|Myth|"[('1', ""Myth Deckathlete's Deck 2""), ('1', ""Myth Deckathlete's Deck 3""), ('20', 'Storm Rune'), ('2', 'Enhanced Storm Rune')]"
Myth Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Myth_Deckathlete%27s_Deck_5|Novice Crafter|000:04:00|Treasure Tower Crafting Station|Kara Runewright (Myth Tower)|Myth|"[('1', ""Myth Deckathlete's Deck 3""), ('1', ""Myth Deckathlete's Deck 4""), ('30', 'Storm Rune'), ('4', 'Enhanced Storm Rune')]"
Myth Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Myth_Deckathlete%27s_Deck_6|Novice Crafter|000:04:00|Treasure Tower Crafting Station|Kara Runewright (Myth Tower)|Myth|"[('1', ""Myth Deckathlete's Deck 4""), ('1', ""Myth Deckathlete's Deck 5""), ('35', 'Storm Rune'), ('6', 'Enhanced Storm Rune')]"
Myth Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Myth_Deckathlete%27s_Deck_7|None|000:07:00|Treasure Tower Crafting Station|Kara Runewright (Myth Tower)|Myth|"[('1', ""Myth Deckathlete's Deck 5""), ('1', ""Myth Deckathlete's Deck 6""), ('35', 'Storm Rune'), ('8', 'Enhanced Storm Rune'), ('2', 'Superior Storm Rune')]"
Myth Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Myth_Deckathlete%27s_Deck_8|None|000:08:00|Treasure Tower Crafting Station|Kara Runewright (Myth Tower)|Myth|"[('1', ""Myth Deckathlete's Deck 6""), ('1', ""Myth Deckathlete's Deck 7""), ('40', 'Storm Rune'), ('10', 'Enhanced Storm Rune'), ('2', 'Superior Storm Rune')]"
Myth Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Myth_Deckathlete%27s_Deck_9|None|000:09:00|Treasure Tower Crafting Station|Kara Runewright (Myth Tower)|Myth|"[('1', ""Myth Deckathlete's Deck 7""), ('1', ""Myth Deckathlete's Deck 8""), ('40', 'Storm Rune'), ('12', 'Enhanced Storm Rune'), ('2', 'Superior Storm Rune')]"
New Fire Calendar Deck|http://www.wizard101central.com/wiki/Item:New_Fire_Calendar_Deck|Transcendent Crafter|36:40:00|Equipment Crafting Station|Guaman Skyfall|1,500|[('3', 'Scald'), ('2', 'Mend'), ('2', 'Amber'), ('3', 'Braided Vine'), ('25', 'Ancient Scroll'), ('8', 'Sunstone'), ('6', 'Agave Nectar'), ('2', 'Turquoise')]
PatternDancers Hand|http://www.wizard101central.com/wiki/Item:PatternDancer%27s_Hand|Promethean Crafter|036:40:00|Equipment Crafting Station|Wozina the EdgeCutter|1,500|[('2', 'Amber'), ('1', 'Stardust'), ('25', 'Ancient Scroll'), ('10', 'Diamond'), ('3', 'Lord of Winter'), ('5', 'Astral Shard'), ('25', 'Perfect Sapphire'), ('5', 'Aether')]
Pyramid Deck of Secrets|http://www.wizard101central.com/wiki/Item:Pyramid_Deck_of_Secrets|Transcendent Crafter|36:40:00|Equipment Crafting Station|Guaman Skyfall|1,500|[('2', 'Earthquake'), ('2', 'Mend'), ('2', 'Amber'), ('3', 'Braided Vine'), ('25', 'Ancient Scroll'), ('8', 'Golden Pearl'), ('6', 'Agave Nectar'), ('2', 'Turquoise')]
Pyramid Deck of the Moon|http://www.wizard101central.com/wiki/Item:Pyramid_Deck_of_the_Moon|Transcendent Crafter|36:40:00|Equipment Crafting Station|Guaman Skyfall|1,500|[('4', 'Balanceblade'), ('2', 'Mend'), ('2', 'Amber'), ('3', 'Braided Vine'), ('25', 'Ancient Scroll'), ('10', 'Aether'), ('6', 'Agave Nectar'), ('2', 'Turquoise')]
Resolute Deck|http://www.wizard101central.com/wiki/Item:Resolute_Deck|Grandmaster Artisan|8:20:00|Equipment Crafting Station|Quentin Chamberlain|1,414|[('3', 'Hydra'), ('5', 'Perfect Citrine'), ('5', 'Pristine Vial'), ('5', 'Sunstone'), ('8', 'Aether'), ('13', 'Scales'), ('19', 'Water Lily')]
Sciencer Square Deck|http://www.wizard101central.com/wiki/Item:Sciencer_Square_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|"[('1', 'Wunderbar Sciencer Box'), ('50', 'Perfect Amethyst'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', ""Rusalka's Wrath (1,350)"")]"
Sciencer Tear Deck|http://www.wizard101central.com/wiki/Item:Sciencer_Tear_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|"[('1', 'Wunderbar Sciencer Box'), ('50', 'Perfect Amethyst'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', ""Rusalka's Wrath (1,350)"")]"
Sciencer Triangle Deck|http://www.wizard101central.com/wiki/Item:Sciencer_Triangle_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|"[('1', 'Wunderbar Sciencer Box'), ('50', 'Perfect Amethyst'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', ""Rusalka's Wrath (1,350)"")]"
Sentamentalist Square Deck|http://www.wizard101central.com/wiki/Item:Sentamentalist_Square_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Sentamentalist Box'), ('50', 'Perfect Onyx'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Winged Sorrow (800-980)')]
Sentamentalist Tear Deck|http://www.wizard101central.com/wiki/Item:Sentamentalist_Tear_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Sentamentalist Box'), ('50', 'Perfect Onyx'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Winged Sorrow (800-980)')]
Sentamentalist Triangle Deck|http://www.wizard101central.com/wiki/Item:Sentamentalist_Triangle_Deck|Revered Crafter|000:00:30|Equipment Crafting Station|Johann|60,000|[('1', 'Wunderbar Sentamentalist Box'), ('50', 'Perfect Onyx'), ('8', 'Karamelle Chunk'), ('30', 'Pretzel Sticks'), ('3', 'Winged Sorrow (800-980)')]
Set of the Lovelorn Spirit|http://www.wizard101central.com/wiki/Item:Set_of_the_Lovelorn_Spirit|Transcendent Crafter|01:50:00|Equipment Crafting Station|Harker|5,000|[('1', 'Mote of Wisdom'), ('1', 'Mote of Beauty'), ('1', 'Mote of Eternity'), ('1', 'Mote of Severity'), ('2', 'GarGoyle'), ('25', 'Perfect Citrine')]
Storm Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Storm_Deckathlete%27s_Deck_1|None|000:01:00|Treasure Tower Crafting Station|Kara Runewright (Storm Tower)|Storm|[('5', 'Myth Rune')]
Storm Deckathletes Deck |http://www.wizard101central.com/wiki/Item:Storm_Deckathlete%27s_Deck_10|None|000:10:00|Treasure Tower Crafting Station|Kara Runewright (Storm Tower)|Storm|"[('Storm', ""Deckathlete's Deck 9""), ('1', ""Storm Deckathlete's Deck 8""), ('1', ""Storm Deckathlete's Deck 9""), ('40', 'Myth Rune'), ('14', 'Enhanced Myth Rune'), ('6', 'Superior Myth Rune')]"
